urban_area,County_name,Tract,Tot_Population_ACS_10_14,Low_Response_Score,Hispanic_ACS_10_14,Hispanic_ACSMOE_10_14,pct_Hispanic_ACS_10_14,pct_Hispanic_ACSMOE_10_14,Prs_Blw_Pov_Lev_ACS_10_14,Prs_Blw_Pov_Lev_ACSMOE_10_14,pct_Prs_Blw_Pov_Lev_ACS_10_14,pct_Prs_Blw_Pov_Lev_ACSMOE_10_14
"Killeen, TX",Bell County,980003,0,,0,13,,,0,13,,
"Killeen, TX",Bell County,980002,0,,0,13,,,0,13,,
,Kenedy County,990000,0,,0,13,,,0,13,,
"Austin, TX",Travis County,1606,114,,14,26,12.28,11.09,80,114,70.18,70.18
"El Paso, TX--NM",El Paso County,10404,4496,,4297,381,95.57,2.75,1314,373,29.45,8
"San Antonio, TX",Bexar County,980004,0,,0,13,,,0,13,,
"Lubbock, TX",Lubbock County,980000,0,,0,13,,,0,13,,
"Wichita Falls, TX",Wichita County,980000,0,,0,13,,,0,13,,
"Abilene, TX",Taylor County,980000,0,,0,13,,,0,13,,
"Amarillo, TX",Potter County,980000,0,,0,13,,,0,13,,
,Zapata County,950301,4581,,4557,698,99.48,1.93,2353,750,51.59,14.48
,Galveston County,990000,0,,0,13,,,0,13,,
,Calhoun County,990000,0,,0,13,,,0,13,,
"McAllen, TX",Hidalgo County,24113,6620,,6431,755,97.15,3.15,4055,831,61.25,10.48
"McAllen, TX",Hidalgo County,24203,6722,,4521,709,67.26,7.32,1584,714,23.56,10.28
"McAllen, TX",Hidalgo County,21805,9342,,9125,761,97.68,3.06,2522,805,27.07,8.38
"McAllen, TX",Hidalgo County,24107,4676,,4152,774,88.79,7.31,1507,661,32.48,13.17
"Austin, TX",Travis County,980000,224,,87,88,38.84,25.37,0,13,,
,Nueces County,990000,0,,0,13,,,0,13,,
,Jefferson County,990000,0,,0,13,,,0,13,,
"Laredo, TX",Webb County,980000,0,,0,13,,,0,13,,
"El Paso, TX--NM",El Paso County,10346,5080,,4862,468,95.71,4.69,2147,513,43.09,9.63
,Aransas County,990000,0,,0,13,,,0,13,,
"El Paso, TX--NM",El Paso County,10405,6274,,6089,568,97.05,1.6,1940,563,30.92,8.51
"College Station--Bryan, TX",Brazos County,980000,4,,0,13,0,100,0,13,,
"Victoria, TX",Victoria County,980000,0,,0,13,,,0,13,,
"Dallas--Fort Worth--Arlington, TX",Dallas County,980000,0,,0,13,,,0,13,,
"Houston, TX",Chambers County,710600,0,,0,13,,,0,13,,
,Starr County,950107,4800,,4800,525,100,10.94,2640,666,55,12.5
,Starr County,950105,4205,,3945,587,93.82,3.56,1119,392,26.69,8.52
,Starr County,950203,4025,,3992,552,99.18,19.44,2150,671,54.06,15.25
"Houston, TX",Harris County,312100,2585,,294,114,11.37,3.2,0,13,,
,Waller County,680400,3561,,505,407,14.18,10.35,0,13,0,72.22
"Houston, TX",Harris County,412100,2578,,393,122,15.24,3.9,0,13,,
"McAllen, TX",Hidalgo County,20201,7626,,7505,854,98.41,3.23,2195,773,28.78,9.64
"McAllen, TX",Hidalgo County,20202,7859,,7728,730,98.33,1.62,2656,557,33.87,6.37
"Corpus Christi, TX",Nueces County,2706,2158,,723,153,33.5,5.9,0,13,,
,Cameron County,980001,0,,0,13,,,0,13,,
"Austin, TX",Travis County,2319,1692,,698,171,41.25,8.96,10,15,71.43,32.67
,Willacy County,990000,0,,0,13,,,0,13,,
"El Paso, TX--NM",El Paso County,10339,8585,,7460,931,86.9,5.09,1898,647,30.29,9.44
"El Paso, TX--NM",El Paso County,10408,3906,,3771,402,96.54,2.17,1155,481,29.65,11.95
,Val Verde County,980000,0,,0,13,,,0,13,,
"El Paso, TX--NM",El Paso County,10409,6321,,6236,571,98.66,2.1,2094,699,33.13,10.66
"McAllen, TX",Hidalgo County,24110,10245,,9950,1034,97.12,2.29,2998,835,29.41,7.64
"McAllen, TX",Hidalgo County,22004,10804,,10233,1122,94.71,3.94,4731,1135,43.79,9.52
"McAllen, TX",Hidalgo County,21806,8612,,8535,925,99.11,2.58,2073,772,24.18,8.63
"McAllen, TX",Hidalgo County,24109,6513,,6330,729,97.19,2.16,2788,870,42.81,12.45
"El Paso, TX--NM",El Paso County,10406,3974,,3974,590,100,14.85,1791,481,45.07,10.09
,Maverick County,950204,4351,,4241,570,97.47,4.57,999,479,23,10.64
"Midland, TX",Midland County,980000,0,,0,13,,,0,13,,
"El Paso, TX--NM",El Paso County,10407,7829,,7824,804,99.94,0.81,3653,989,46.93,11.76
,Kleberg County,990000,0,,0,13,,,0,13,,
"McAllen, TX",Hidalgo County,980000,0,,0,13,,,0,13,,
,Matagorda County,990000,0,,0,13,,,0,13,,
"Brownsville, TX",Cameron County,980100,0,,0,13,,,0,13,,
,Cameron County,990000,0,,0,13,,,0,13,,
,Jefferson County,11202,3535,,1162,299,32.87,6.43,0,13,,
,Jefferson County,11203,1714,,445,165,25.96,8.08,0,13,,
"Killeen, TX",Coryell County,10503,4493,,937,285,20.85,5.41,0,13,,
,Chambers County,990000,0,,0,13,,,0,13,,
"Killeen, TX",Bell County,980001,348,,22,35,6.32,8.56,0,13,,
,Brazoria County,990000,0,,0,13,,,0,13,,